year,class,exercise,description,test_number,function,func_arg_list,in_list,exp_out_list,return_values
2023,8,1,"title",1,ex1,"[]","[10,20]","['hello 10', 'hello 20']","[None]"
2023,8,1,"title",2,ex1,"[12]","[10,12]","['hello 10', 'hello 20']","[None]"
2023,8,1,"title",1,ex2,"[3]","[10,20,30]","[60]","[None]"
2023,8,1,"title",1,ex3,"[40]","[]","[1040, 10]","[1040, 10]"
2023,8,1,"title",1,ex4,"[3]","['hello']","['hellohellohello']","[None]"
2023,8,1,"title",1,ex4,"[4]","['tomer']","['tomertomertomer']","[None]"
2023,8,2,"ex02",1,ex2,"[]","[]","['9 -1 20 0.8']","[None]"
2023,8,2,"ex03",1,ex3,"[]","[]","['red' 'green' 'blue']","[None]"
2023,8,4,"is_positive_number",1,ex4,"[]","[25]","['true']","[None]"
2023,8,4,"is_positive_number",1,ex4,"[]","[-3]","['false']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[15,15]","['false']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[35,35]","['true']","[None]"
2023,8,4,"is_above_64",1,ex5,"[]","[32,32]","['false']","[None]"
2023,8,4,"twoitems",1,ex6,"[]","[70,20]","['true']","[None]"
2023,8,4,"twoitems",2,ex6,"[]","[120,20]","['false']","[None]"
2023,8,4,"twoitems",3,ex6,"[]","[70,45]","['false']","[None]"
2023,8,4,"david",1,ex7,"[]","[140]","['מצוין']","[None]"
2023,8,4,"david",1,ex7,"[]","[200]","['סביר']","[None]"
2023,8,4,"david",1,ex7,"[]","[300]","['יקר']","[None]"
2023,8,4,"noar",1,ex8,"[]","[40]","['מעולים','תנועת נוער למימוש החזון']","[None]"
2023,8,4,"noar",1,ex8,"[]","[22]","['גדול','תנועת נוער למימוש החזון']","[None]"
2023,8,4,"noar",1,ex8,"[]","[10]","['סביר','תנועת נוער למימוש החזון']","[None]"
2023,8,4,"noar",1,ex8,"[]","[6]","['לגייס דחוף','תנועת נוער למימוש החזון']","[None]"
2023,8,4,"colors",1,ex9,"[]","['yellow']","['צהוב','צבעים מזינים את נפש האדם ומעניקים לו תמיד שמחה ותקווה']","[None]"
2023,8,4,"colors",1,ex9,"[]","['blue']","['כחול','צבעים מזינים את נפש האדם ומעניקים לו תמיד שמחה ותקווה']","[None]"

2023,8,11,"wordnextletter",1,ex3,"[]","['abcd']","['97 98 99 100']","[None]"
2023,8,11,"wordnextletter",1,ex4,"[]","['abcd']","['bcde']","[None]"
2023,8,11,"wordnextletter",2,ex4,"[]","['zoo']","['app']","[None]"
2023,8,11,"wordnextletter",2,ex5,"[]","['hello','l']","['num=2']","[None]"
2023,8,11,"cohencount",1,ex6,"[]","[5,'tomer tubi','tal cohen','timor levi','yali cohen','adi']","[2]","[None]"
2023,8,11,"cohencount",1,ex6,"[]","[2,'tomer tubi','timor levi']","[0]","[None]"
2023,8,11,"first_last",1,ex7,"[]","['Cats and dogs are great friends']","['C*s']","[None]"
2023,8,11,"first_last",1,ex7,"[]","['Dogs and cats']","['D*s']","[None]"
2023,8,11,"middel",1,ex8,"[]","['abcde']","['c']","[None]"
2023,8,11,"middel",1,ex8,"[]","['abcd']","['bc']","[None]"
2023,8,11,"threestart_end",1,ex9,"[]","['tomer tubi']","['tomubi']","[None]"
2023,8,11,"threestart_end",1,ex9,"[]","['to']","['***']","[None]"
2023,8,11,"hundred_units_equal",1,ex10,"[]","[234]","['not equal']","[None]"
2023,8,11,"hundred_units_equal",1,ex10,"[]","[838]","['equal']","[None]"
2023,8,11,"rashai_tevot",1,ex11,"[]","['American Standard Code Information Interchange']","['ASCII']","[None]"
2023,8,11,"rashai_tevot",1,ex11,"[]","['Home Work']","['HW']","[None]"
2023,8,11,"count_is",1,ex12,"[]","['this is a distance']","[3]","[None]"
2023,8,11,"count_is",1,ex12,"[]","['I dont know']","[0]","[None]"
2023,8,11,"nikod_letter",1,ex13,"[]","['how many letters']","['a=1 e=2 i=0 o=1 u=0']","[None]"
2023,8,11,"nikod_letter",1,ex13,"[]","['You know the only one']","['a=0 e=2 i=0 o=4 u=1']","[None]"
2023,8,11,"first_last_word",1,ex14,"[]","['Dogs are great friends']","['Dogs friends']","[None]"
2023,8,11,"first_last_word",1,ex14,"[]","['Cats are great friends']","['Cats friends']","[None]"
2023,8,11,"upper_lower",1,ex15,"[]","['trustyourself']","['TrUsTyOuRsEiF']","[None]"
2023,8,11,"upper_lower",1,ex15,"[]","['tomer']","['ToMeR']","[None]"
2023,8,11,"twoletterstart_end",1,ex16,"[]","['spring']","['spng']","[None]"
2023,8,11,"twoletterstart_end",1,ex16,"[]","['a']","['']","[None]"
2023,8,11,"twoletterstart_end",1,ex16,"[]","['instruction']","['inon']","[None]"
2023,8,11,"replace_except_first",1,ex17,"[]","['babble']","['ba**le']","[None]"
2023,8,11,"replace_except_first",1,ex17,"[]","['always']","['alw*ys']","[None]"
2023,8,11,"replace",1,ex18,"[]","['mix','pod']","['mid','pox']","[None]"
2023,8,11,"replace",1,ex18,"[]","['dog','dinner']","['donner','dig']","[None]"

2023,8,12,"simplecalculator",1,ex3a,"[12,12,'+']","[]","[24]","[None]"
2023,8,12,"simplecalculator",1,ex3a,"[12,12,'*']","[]","[144]","[None]"
2023,8,12,"simplecalculator",1,ex3,"[]","[5,6,'*']","[30]","[None]"
2023,8,12,"simplecalculator",1,ex3,"[]","[13,10,'%']","[3]","[None]"
2023,8,12,"grade_avg",1,ex4a,"[90]","[]","['הצטיינות יתרה']","[None]"
2023,8,12,"grade_avg",1,ex4a,"[75]","[]","['טוב מאוד']","[None]"
2023,8,12,"grade_avg",1,ex4a,"[42]","[]","['יש לשפר השגים']","[None]"
2023,8,12,"grade_avg",1,ex4,"[]","[100]","['הצטיינות יתרה']","[None]"
2023,8,12,"animal_legs",1,ex5a,"['dog']","[]","[4]","[None]"
2023,8,12,"animal_legs",1,ex5a,"['ant']","[]","[6]","[None]"
2023,8,12,"animal_legs",1,ex5a,"['lion']","[]","[-1]","[None]"
2023,8,12,"animal_legs",1,ex5b,"[]","['cat']","[4]","[None]"
2023,8,12,"simplecalculator",1,ex6a,"[2,8]","[]","[]","[10,6,16,4]"
2023,8,12,"simplecalculator",1,ex6b,"[]","[2,8]","["10 6 16 4"]","[None]"
2023,8,12,"simplecalculator",1,ex6b,"[]","[4,8]","["12 4 32 2"]","[None]"
2023,8,12,"monthyear",1,ex7a,"[4,2009]","[]","[]","[True]"
2023,8,12,"monthyear",1,ex7a,"[8,2009]","[]","[]","[False]"
2023,8,12,"monthyear",1,ex7a,"[4,2010]","[]","[]","[False]"
2023,8,12,"monthyear",1,ex7b,[],"[4,2009,'male',6,2009,'male',3,2009,'male',11,2009,'male',1,2009,'female',2,2009,'female',1,2010,'female']","[3,2]","[None]"
2023,8,12,"monthyear",1,ex7b,[],"[4,2009,'female',6,2009,'female',10,2009,'female',11,2009,'female',1,2009,'male',2,2011,'male',1,2010,'male']","[2,1]","[None]"
